name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Clarmont,2019.00,2021.00,73.50,1.00,50.00,50.00,50.00,50.00,100.00,50.00,50.-,-
Coinsins,2019.00,2020.00,51.00,1.00,50.00,45.00,-,70.00,100.00,45.00,-,10
Commugny,2019.00,2020.00,55.50,1.30,50.00,-,-,100.00,100.00,50.00,1.-p/Fr,-
Concise,2019.00,2020.00,75.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,75.-,10
Coppet,2019.00,2020.00,53.00,1.50,50.00,-,-,100.00,100.00,50.00,50.-,-
Corbeyrier,2019.00,2020.00,74.00,1.50,50.00,100.00,50.00,100.00,100.00,50.00,1.-p/Fr,5
Corcelles-le-Jorat,2019.00,2021.00,77.00,1.00,50.00,40.00,20.00,100.00,100.00,50.00,40.-,10
Corcelles-près-Concise,2019.00,2020.00,69.00,1.00,50.00,40.00,40.00,100.00,100.00,30.00,60.-,-
Corcelles-près-Payerne,2019.00,2020.00,68.50,0.70,50.00,50.00,50.00,100.00,100.00,50.00,60.-,10
Corseaux,2019.00,2020.00,67.50,1.00,50.00,100.00,25.00,100.00,100.00,50.00,50.-,-
Corsier-sur-Vevey,2019.00,2020.00,66.00,1.20,50.00,100.00,-,100.00,100.00,50.00,100.-,-
Cossonay,2019.00,2020.00,69.50,1.00,50.00,100.00,50.00,100.00,100.00,50.00,1.-p/Fr,10
Cottens,2019.00,2020.00,74.00,1.00,50.00,-,-,-,100.00,50.00,50.-,-
Crans-près-Céligny,2019.00,2020.00,56.00,1.00,50.00,-,-,70.00,100.00,50.00,1.-p/Fr,10 cts
Crassier,2019.00,2020.00,68.00,1.00,50.00,-,-,50.00,100.00,50.00,60.-,-
Crissier,2019.00,2021.00,63.50,1.00,50.00,50.00,-,100.00,100.00,50.00,1.50p/Fr,-
Cronay,2019.00,2020.00,77.00,1.00,50.00,20.00,20.00,50.00,100.00,-,100.-,-
Croy,2016.00,2021.00,74.00,0.70,50.00,20.00,20.00,100.00,100.00,30.00,1.-p/Fr,-
Cuarnens,2019.00,2020.00,77.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,40.-,-
